"Jahr";"Anzahl der Rettungswachen";"Anzahl der Krankenkraftwagen";"Durchgeführte Transporte insgesamt";"darunter wegen Infektionskrankheiten";"darunter wegen Frühgeburten"
"1990";19;37;56749;229;216
"1991";19;37;58865;185;210
"1992";19;37;59106;221;350
"1993";19;37;62736;213;284
"1994";19;40;63341;247;349
"1995";19;40;62567;267;338
"1996";20;40;64006;174;91
"1997";20;40;62485;110;26
"1998";20;36;64546;106;23
"1999";20;33;65584;178;22
"2000";20;33;54769;159;19
"2001";20;33;55790;190;25
"2002";13;34;69590;659;52
"2003";15;36;75855;1650;67
"2004";15;35;78633;2301;116
"2005";15;42;87275;2366;88
"2006";15;51;91262;1211;6
"2007";15;39;95893;1242;10
"2008";15;39;100788;1636;2
"2009";15;39;103719;1967;7
"2010";15;39;105656;2175;7
"2011";15;39;104573;2106;9
"2012";15;39;108366;3012;10
"2013";15;39;114387;3896;7
"2014";16;42;119976;4216;10
"2015";17;44;126457;4608;11
"2016";18;46;130833;4857;17
"2017";18;48;135719;4047;12
"2018";18;48;139594;4216;15
